Day Of Week,Time,Travel Time (minutes)
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
Friday,08:15,28
